,username,protected,verified,location,followers_count,following_count,tweet_count,listed_count
5888,5888,False,False,,1,53,0,0
5889,5889,False,False,,0,37,1,0
5890,5890,False,False,,0,14,39,0
5891,5891,False,False,,38,204,338,0
5892,5892,True,False,,1,107,0,0
5893,5893,False,False,,0,8,0,0
5894,5894,False,False,,2,97,5,0
5895,5895,True,False,,13,700,46,0
5896,5896,False,False,,2,58,4,0
5897,5897,True,False,,0,134,0,0
5898,5898,False,False,,0,57,2,0
5899,5899,False,False,,1,18,0,0
5900,5900,False,False,,0,6,0,0
5901,5901,False,False,,4507,1764,1823,3
5902,5902,False,False,,10,105,51,0
5903,5903,False,False,,0,16,0,0
5904,5904,True,False,,0,39,0,0
5905,5905,False,False,"Monterrey, Nuevo León",1,6,0,0
5906,5906,True,False,,1,17,0,0
5907,5907,False,False,,0,3,0,0
5908,5908,True,False,,0,104,0,0
5909,5909,False,False,,0,6,0,0
5910,5910,False,False,,0,60,0,0
5911,5911,True,False,"Zacatecas, México",216,1515,617,0
5912,5912,False,False,,0,47,0,0
5913,5913,False,False,,0,23,4,0
5914,5914,False,False,,1,20,0,0
5915,5915,False,False,,1,22,1,0
5916,5916,True,False,,0,16,0,0
5917,5917,False,False,,1,123,1,0
5918,5918,False,False,,0,31,0,0
